"Tỉnh/Thành phố sau sáp nhập","Detail"
"Cần Thơ","Hạng du lịch: B | Địa danh: Cần Thơ; chợ nổi Cái Răng; bến Ninh Kiều; cồn Sơn; Sóc Trăng; Hậu Giang | Hashtag Instagram: #dulichcantho; #canthotravel; #reviewcantho; #chonoicairang"
"Thanh Hóa","Hạng du lịch: B | Địa danh: Thanh Hóa; Sầm Sơn; Pù Luông; suối cá Cẩm Lương; biển Hải Tiến; thành nhà Hồ | Hashtag Instagram: #dulichthanhhoa; #samson; #puluong; #reviewthanhhoa"
"Nghệ An","Hạng du lịch: B | Địa danh: Nghệ An; Cửa Lò; quê Bác; Pù Mát; đảo Lan Châu; Mường Lống | Hashtag Instagram: #dulichnghean; #cualo; #reviewnghean"
"Quảng Trị","Hạng du lịch: B | Địa danh: Phong Nha; Quảng Bình; Đồng Hới; động Thiên Đường; Sơn Đoòng; Quảng Trị; Cồn Cỏ; thành cổ Quảng Trị | Hashtag Instagram: #dulichquangbinh; #phongnha; #dongthienduong; #reviewquangbinh; #quangtri"
"Quảng Ngãi","Hạng du lịch: B | Địa danh: Lý Sơn; Quảng Ngãi; Kon Tum; Măng Đen; biển Sa Huỳnh; đảo Bé | Hashtag Instagram: #dulichlyson; #lyson; #mangden; #reviewquangngai"
"Đắk Lắk","Hạng du lịch: B | Địa danh: Buôn Ma Thuột; Đắk Lắk; hồ Lắk; thác Dray Nur; Phú Yên; Tuy Hòa; Gành Đá Đĩa; Bãi Xếp | Hashtag Instagram: #dulichbuonmathuot; #daklak; #phuyen; #ganhdadia; #tuyhoa"
"Tây Ninh","Hạng du lịch: B | Địa danh: Tây Ninh; Núi Bà Đen; Tòa Thánh Cao Đài; hồ Dầu Tiếng; Long An; làng nổi Tân Lập | Hashtag Instagram: #dulichtayninh; #nuibaden; #reviewtayninh"
"Cao Bằng","Hạng du lịch: B | Địa danh: Cao Bằng; thác Bản Giốc; động Ngườm Ngao; hồ Thang Hen; Pác Bó | Hashtag Instagram: #dulichcaobang; #bangioc; #reviewcaobang"
"Điện Biên","Hạng du lịch: B | Địa danh: Điện Biên; Điện Biên Phủ; A Pa Chải; đèo Pha Đin; Mường Thanh | Hashtag Instagram: #dulichdienbien; #dienbienphu; #reviewdienbien"
"Phú Thọ","Hạng du lịch: B | Địa danh: Phú Thọ; Đền Hùng; Tam Đảo; Vĩnh Phúc; Hòa Bình; Mai Châu; vườn quốc gia Xuân Sơn | Hashtag Instagram: #dulichphutho; #tamdao; #denhung; #maichau"
"Đồng Nai","Hạng du lịch: B | Địa danh: Đồng Nai; Bình Phước; thác Giang Điền; núi Chứa Chan; vườn quốc gia Cát Tiên; hồ Trị An | Hashtag Instagram: #dulichdongnai; #cattien; #reviewdongnai"
"Sơn La","Hạng du lịch: B | Địa danh: Mộc Châu; Sơn La; đồi chè Mộc Châu; thác Dải Yếm; Tà Xùa; ngũ động Bản Ôn | Hashtag Instagram: #dulichmocchau; #mocchau; #taxua; #reviewmocchau"
"Hưng Yên","Hạng du lịch: C | Địa danh: Hưng Yên; Phố Hiến; Thái Bình; biển Cồn Vành | Hashtag Instagram: #dulichhungyen; #phohien"
"Bắc Ninh","Hạng du lịch: C | Địa danh: Bắc Ninh; Bắc Giang; đền Đô; chùa Bút Tháp; Tây Yên Tử | Hashtag Instagram: #dulichbacninh; #denbo"
"Vĩnh Long","Hạng du lịch: C | Địa danh: Vĩnh Long; Bến Tre; Trà Vinh; cồn Phụng; cù lao An Bình | Hashtag Instagram: #dulichvinhlong; #dulichbentre"
"Đồng Tháp","Hạng du lịch: C | Địa danh: Đồng Tháp; Tiền Giang; Sa Đéc; Tràm Chim; làng hoa Sa Đéc; Mỹ Tho | Hashtag Instagram: #dulichdongthap; #sadec; #tramchim"
"Cà Mau","Hạng du lịch: C | Địa danh: Cà Mau; Bạc Liêu; Mũi Cà Mau; đất Mũi; nhà công tử Bạc Liêu; U Minh | Hashtag Instagram: #dulichcamau; #muicamau; #baclieu"
"Lạng Sơn","Hạng du lịch: C | Địa danh: Lạng Sơn; Mẫu Sơn; động Tam Thanh; Bắc Sơn | Hashtag Instagram: #dulichlangson; #mauson; #bacson"
"Thái Nguyên","Hạng du lịch: C | Địa danh: Thái Nguyên; Bắc Kạn; hồ Ba Bể; hồ Núi Cốc; ATK Định Hóa | Hashtag Instagram: #dulichthainguyen; #babe"
"Hà Tĩnh","Hạng du lịch: C | Địa danh: Hà Tĩnh; biển Thiên Cầm; chùa Hương Tích; đèo Ngang | Hashtag Instagram: #dulichhatinh; #thiencam"
"Lai Châu","Hạng du lịch: C | Địa danh: Lai Châu; Pu Ta Leng; Sìn Hồ; đèo Ô Quy Hồ; Sin Suối Hồ | Hashtag Instagram: #dulichlaichau; #putaleng"
